,y_name,orf_name
6307,YPL144W,POC4
6308,YPL145C,KES1
6309,YPL146C,NOP53
6310,YPL147W,PXA1
6311,YPL148C,PPT2
6312,YPL149W,ATG5
6313,YPL150W,YPL150W
6314,YPL151C,PRP46
6315,YPL152W,RRD2
6316,YPL152W-A,YPL152W-A
6317,YPL153C,RAD53
6318,YPL154C,PEP4
6319,YPL155C,KIP2
6320,YPL156C,PRM4
6321,YPL157W,TGS1
6322,YPL158C,AIM44
6323,YPL159C,PET20
6324,YPL160W,CDC60
6325,YPL161C,BEM4
6326,YPL162C,YPL162C
6327,YPL163C,SVS1
6328,YPL164C,MLH3
6329,YPL165C,SET6
6330,YPL166W,ATG29
6331,YPL167C,REV3
6332,YPL168W,YPL168W
6333,YPL169C,MEX67
6334,YPL170W,DAP1
6335,YPL171C,OYE3
6336,YPL172C,COX10
6337,YPL173W,MRPL40
6338,YPL174C,NIP100
6339,YPL175W,SPT14
6340,YPL176C,TRE1
6341,YPL177C,CUP9
6342,YPL178W,CBC2
6343,YPL179W,PPQ1
6344,YPL180W,TCO89
6345,YPL181W,CTI6
6346,YPL182C,YPL182C
6347,YPL183C,RTT10
6348,YPL183W-A,RTC6
6349,YPL184C,MRN1
6350,YPL185W,YPL185W
6351,YPL186C,UIP4
6352,YPL187W,MF(ALPHA)1
6353,YPL188W,POS5
6354,YPL189C-A,COA2
6355,YPL189W,GUP2
6356,YPL190C,NAB3
6357,YPL191C,YPL191C
6358,YPL192C,PRM3
6359,YPL193W,RSA1
6360,YPL194W,DDC1
6361,YPL195W,APL5
6362,YPL196W,OXR1
6363,YPL197C,YPL197C
6364,YPL198W,RPL7B
6365,YPL199C,YPL199C
6366,YPL200W,CSM4
6367,YPL201C,YIG1
6368,YPL202C,AFT2
6369,YPL203W,TPK2
6370,YPL204W,HRR25
6371,YPL205C,YPL205C
6372,YPL206C,PGC1
6373,YPL207W,TYW1
6374,YPL208W,RKM1
6375,YPL209C,IPL1
6376,YPL210C,SRP72
6377,YPL211W,NIP7
6378,YPL212C,PUS1
6379,YPL213W,LEA1
6380,YPL214C,THI6
6381,YPL215W,CBP3
6382,YPL216W,YPL216W
6383,YPL217C,BMS1
6384,YPL218W,SAR1
6385,YPL219W,PCL8
6386,YPL220W,RPL1A
6387,YPL221W,FLC1
6388,YPL222C-A,YPL222C-A
6389,YPL222W,FMP40
6390,YPL223C,GRE1
6391,YPL224C,MMT2
6392,YPL225W,YPL225W
6393,YPL226W,NEW1
6394,YPL227C,ALG5
6395,YPL228W,CET1
6396,YPL229W,YPL229W
6397,YPL230W,USV1
6398,YPL231W,FAS2
6399,YPL232W,SSO1
6400,YPL233W,NSL1
6401,YPL234C,VMA11
6402,YPL235W,RVB2
6403,YPL236C,ENV7
6404,YPL237W,SUI3
6405,YPL238C,YPL238C
6406,YPL239W,YAR1
6407,YPL240C,HSP82
6408,YPL241C,CIN2
6409,YPL242C,IQG1
6410,YPL243W,SRP68
6411,YPL244C,HUT1
6412,YPL245W,YPL245W
6413,YPL246C,RBD2
6414,YPL247C,YPL247C
6415,YPL248C,GAL4
6416,YPL249C,GYP5
6417,YPL249C-A,RPL36B
6418,YPL250C,ICY2
6419,YPL250W-A,YPL250W-A
6420,YPL251W,YPL251W
6421,YPL252C,YAH1
6422,YPL253C,VIK1
6423,YPL254W,HFI1
6424,YPL255W,BBP1
6425,YPL256C,CLN2
6426,YPL257W,YPL257W
6427,YPL257W-A,YPL257W-A
6428,YPL257W-B,YPL257W-B
6429,YPL258C,THI21
6430,YPL259C,APM1
6431,YPL260W,YPL260W
6432,YPL261C,YPL261C
6433,YPL262W,FUM1
6434,YPL263C,KEL3
6435,YPL264C,YPL264C
6436,YPL265W,DIP5
6437,YPL266W,DIM1
6438,YPL267W,ACM1
6439,YPL268W,PLC1
6440,YPL269W,KAR9
6441,YPL270W,MDL2
6442,YPL271W,ATP15
6443,YPL272C,PBI1
6444,YPL273W,SAM4
6445,YPL274W,SAM3
6446,YPL275W,FDH2
6447,YPL276W,YPL276W
6448,YPL277C,YPL277C
6449,YPL278C,YPL278C
6450,YPL279C,FEX2
6451,YPL280W,HSP32
6452,YPL281C,ERR2
6453,YPL282C,PAU22
6454,YPL283C,YRF1-7
6455,YPL283W-A,YPL283W-A
6456,YPL283W-B,YPL283W-B
6457,YPR001W,CIT3
6458,YPR002C-A,YPR002C-A
6459,YPR002W,PDH1
6460,YPR003C,YPR003C
6461,YPR004C,AIM45
6462,YPR005C,HAL1
6463,YPR006C,ICL2
6464,YPR007C,REC8
6465,YPR008W,HAA1
6466,YPR009W,SUT2
6467,YPR010C,RPA135
6468,YPR010C-A,YPR010C-A
6469,YPR011C,YPR011C
6470,YPR012W,YPR012W
6471,YPR013C,CMR3
6472,YPR014C,YPR014C
6473,YPR015C,YPR015C
6474,YPR016C,TIF6
6475,YPR016W-A,YPR016W-A
6476,YPR017C,DSS4
6477,YPR018W,RLF2
6478,YPR019W,MCM4
6479,YPR020W,ATP20
6480,YPR021C,AGC1
6481,YPR022C,YPR022C
6482,YPR023C,EAF3
6483,YPR024W,YME1
6484,YPR025C,CCL1
6485,YPR026W,ATH1
6486,YPR027C,YPR027C
6487,YPR028W,YOP1
6488,YPR029C,APL4
6489,YPR030W,CSR2
6490,YPR031W,NTO1
6491,YPR032W,SRO7
6492,YPR033C,HTS1
6493,YPR034W,ARP7
6494,YPR035W,GLN1
6495,YPR036W,VMA13
6496,YPR036W-A,SPO24
6497,YPR037C,ERV2
6498,YPR038W,IRC16
6499,YPR039W,YPR039W
6500,YPR040W,TIP41
6501,YPR041W,TIF5
6502,YPR042C,PUF2
6503,YPR043W,RPL43A
6504,YPR044C,OPI11
6505,YPR045C,THP3
6506,YPR046W,MCM16
6507,YPR047W,MSF1
6508,YPR048W,TAH18
6509,YPR049C,ATG11
6510,YPR050C,YPR050C
6511,YPR051W,MAK3
6512,YPR052C,NHP6A
6513,YPR053C,YPR053C
6514,YPR054W,SMK1
6515,YPR055W,SEC8
6516,YPR056W,TFB4
6517,YPR057W,BRR1
6518,YPR058W,YMC1
6519,YPR059C,YPR059C
6520,YPR060C,ARO7
6521,YPR061C,JID1
6522,YPR062W,FCY1
6523,YPR063C,YPR063C
6524,YPR064W,YPR064W
6525,YPR065W,ROX1
6526,YPR066W,UBA3
6527,YPR067W,ISA2
6528,YPR068C,HOS1
6529,YPR069C,SPE3
6530,YPR070W,MED1
6531,YPR071W,YPR071W
6532,YPR072W,NOT5
6533,YPR073C,LTP1
6534,YPR074C,TKL1
6535,YPR074W-A,YPR074W-A
6536,YPR075C,OPY2
6537,YPR076W,YPR076W
6538,YPR077C,YPR077C
6539,YPR078C,YPR078C
6540,YPR079W,MRL1
6541,YPR080W,TEF1
6542,YPR081C,GRS2
6543,YPR082C,DIB1
6544,YPR083W,MDM36
6545,YPR084W,YPR084W
6546,YPR085C,ASA1
6547,YPR086W,SUA7
6548,YPR087W,VPS69
6549,YPR088C,SRP54
6550,YPR089W,YPR089W
6551,YPR091C,NVJ2
6552,YPR092W,YPR092W
6553,YPR093C,ASR1
6554,YPR094W,RDS3
6555,YPR095C,SYT1
6556,YPR096C,YPR096C
